"","county_fips","county","state","start.year","end.year","stroke","age"
"178",1069,"Houston","Alabama",2012,2014,"26.70","45-64"
"179",1069,"Houston","Alabama",2008,2010,"31.00","45-64"
"180",1069,"Houston","Alabama",2008,2010,"383.30",">= 65"
"181",1069,"Houston","Alabama",2006,2008,"26.70","45-64"
"182",1069,"Houston","Alabama",2014,2016,"31.50","45-64"
"183",1069,"Houston","Alabama",2017,2019,"29.10","45-64"
"184",1069,"Houston","Alabama",2016,2018,"269.00",">= 65"
"185",1069,"Houston","Alabama",2016,2018,"32.70","45-64"
"186",1069,"Houston","Alabama",2015,2017,"279.60",">= 65"
"187",1069,"Houston","Alabama",2013,2015,"246.20",">= 65"
"188",1069,"Houston","Alabama",2011,2013,"281.40",">= 65"
"189",1069,"Houston","Alabama",2006,2008,"355.20",">= 65"
"190",1069,"Houston","Alabama",2007,2009,"356.70",">= 65"
"191",1069,"Houston","Alabama",2009,2011,"28.90","45-64"
"192",1069,"Houston","Alabama",2014,2016,"261.20",">= 65"
"193",1069,"Houston","Alabama",2012,2014,"257.60",">= 65"
"194",1069,"Houston","Alabama",2013,2015,"26.20","45-64"
"195",1069,"Houston","Alabama",2007,2009,"31.00","45-64"
"196",1069,"Houston","Alabama",2017,2019,"246.10",">= 65"
"197",1069,"Houston","Alabama",2005,2007,"26.00","45-64"
"198",1069,"Houston","Alabama",2015,2017,"31.90","45-64"
"199",1069,"Houston","Alabama",2005,2007,"327.20",">= 65"
"200",1069,"Houston","Alabama",2010,2012,"25.60","45-64"
"201",1069,"Houston","Alabama",2011,2013,"23.80","45-64"
"202",1069,"Houston","Alabama",2009,2011,"324.60",">= 65"
"203",1069,"Houston","Alabama",2010,2012,"302.70",">= 65"
"204",1069,"Houston","Alabama",2012,2014,"26.70","45-64"
"205",1069,"Houston","Alabama",2008,2010,"31.00","45-64"
"206",1069,"Houston","Alabama",2008,2010,"383.30",">= 65"
"207",1069,"Houston","Alabama",2006,2008,"26.70","45-64"
"208",1069,"Houston","Alabama",2014,2016,"31.50","45-64"
"209",1073,"Jefferson","Alabama",2011,2013,"349.80",">= 65"
"210",1073,"Jefferson","Alabama",2014,2016,"39.00","45-64"
"211",1073,"Jefferson","Alabama",2011,2013,"37.00","45-64"
"212",1073,"Jefferson","Alabama",2005,2007,"41.60","45-64"
"213",1073,"Jefferson","Alabama",2006,2008,"426.90",">= 65"
"214",1073,"Jefferson","Alabama",2010,2012,"350.00",">= 65"
"215",1073,"Jefferson","Alabama",2017,2019,"33.50","45-64"
"216",1073,"Jefferson","Alabama",2009,2011,"38.60","45-64"
"217",1073,"Jefferson","Alabama",2007,2009,"402.30",">= 65"
"218",1073,"Jefferson","Alabama",2012,2014,"35.90","45-64"
"219",1073,"Jefferson","Alabama",2015,2017,"392.90",">= 65"
"220",1073,"Jefferson","Alabama",2013,2015,"370.80",">= 65"
"221",1073,"Jefferson","Alabama",2013,2015,"36.50","45-64"
"222",1073,"Jefferson","Alabama",2016,2018,"391.90",">= 65"
"223",1073,"Jefferson","Alabama",2006,2008,"47.80","45-64"
"224",1073,"Jefferson","Alabama",2015,2017,"38.80","45-64"
"225",1073,"Jefferson","Alabama",2007,2009,"46.90","45-64"
"226",1073,"Jefferson","Alabama",2008,2010,"44.50","45-64"
"227",1073,"Jefferson","Alabama",2005,2007,"436.20",">= 65"
"228",1073,"Jefferson","Alabama",2009,2011,"346.70",">= 65"
"229",1073,"Jefferson","Alabama",2016,2018,"38.20","45-64"
"230",1073,"Jefferson","Alabama",2017,2019,"402.00",">= 65"
"231",1073,"Jefferson","Alabama",2014,2016,"384.60",">= 65"
"232",1073,"Jefferson","Alabama",2012,2014,"357.60",">= 65"
"233",1073,"Jefferson","Alabama",2008,2010,"379.00",">= 65"
"234",1073,"Jefferson","Alabama",2010,2012,"37.00","45-64"
"235",1073,"Jefferson","Alabama",2011,2013,"349.80",">= 65"
"236",1073,"Jefferson","Alabama",2014,2016,"39.00","45-64"
