"county_fips","county","state","year","asthma"
26139,"Ottawa","Michigan",2018,9.6
26145,"Saginaw","Michigan",2019,11.1
26145,"Saginaw","Michigan",2018,11
26147,"St. Clair","Michigan",2018,11.1
26147,"St. Clair","Michigan",2019,10.8
26161,"Washtenaw","Michigan",2019,9.6
26161,"Washtenaw","Michigan",2018,9.8
26163,"Wayne","Michigan",2018,12.5
26163,"Wayne","Michigan",2019,11.8
27013,"Blue Earth","Minnesota",2018,8.6
27013,"Blue Earth","Minnesota",2019,9.4
27053,"Hennepin","Minnesota",2019,8.3
27053,"Hennepin","Minnesota",2018,8.8
27109,"Olmsted","Minnesota",2018,8.3
27109,"Olmsted","Minnesota",2019,8.7
27137,"St. Louis","Minnesota",2019,9.4
27137,"St. Louis","Minnesota",2018,8.9
27145,"Stearns","Minnesota",2019,9.1
27145,"Stearns","Minnesota",2018,8.3
28035,"Forrest","Mississippi",2019,10.5
28035,"Forrest","Mississippi",2018,10.3
28047,"Harrison","Mississippi",2018,10
28047,"Harrison","Mississippi",2019,9.9
28049,"Hinds","Mississippi",2019,10.7
28049,"Hinds","Mississippi",2018,10.9
28059,"Jackson","Mississippi",2018,9.5
28059,"Jackson","Mississippi",2019,9.4
29019,"Boone","Missouri",2019,9.6
29019,"Boone","Missouri",2018,9.3
29021,"Buchanan","Missouri",2019,10
29021,"Buchanan","Missouri",2018,10
29031,"Cape Girardeau","Missouri",2018,9.7
29031,"Cape Girardeau","Missouri",2019,9.8
29051,"Cole","Missouri",2018,9.4
29051,"Cole","Missouri",2019,9.6
29077,"Greene","Missouri",2018,9.7
29077,"Greene","Missouri",2019,9.8
29095,"Jackson","Missouri",2018,9.8
29095,"Jackson","Missouri",2019,10.7
29097,"Jasper","Missouri",2019,10.2
29097,"Jasper","Missouri",2018,9.9
29510,"St. Louis","Missouri",2019,10.5
29510,"St. Louis","Missouri",2018,10.9
30013,"Cascade","Montana",2018,10.1
30013,"Cascade","Montana",2019,10.6
30063,"Missoula","Montana",2019,9.2
30063,"Missoula","Montana",2018,9.1
30111,"Yellowstone","Montana",2018,9.7
30111,"Yellowstone","Montana",2019,9.9
31055,"Douglas","Nebraska",2019,8.5
31055,"Douglas","Nebraska",2018,9
31079,"Hall","Nebraska",2019,7.6
31079,"Hall","Nebraska",2018,8.1
31109,"Lancaster","Nebraska",2019,8.4
31109,"Lancaster","Nebraska",2018,8.6
32003,"Clark","Nevada",2019,8.9
32003,"Clark","Nevada",2018,8.5
32031,"Washoe","Nevada",2018,9
32031,"Washoe","Nevada",2019,9.7
32510,"Carson City","Nevada",2018,9.2
32510,"Carson City","Nevada",2019,9
33011,"Hillsborough","New Hampshire",2018,10.6
33011,"Hillsborough","New Hampshire",2019,10.7
33015,"Rockingham","New Hampshire",2019,9.5
33015,"Rockingham","New Hampshire",2018,9.7
33017,"Strafford","New Hampshire",2018,10.2
33017,"Strafford","New Hampshire",2019,10.4
34001,"Atlantic","New Jersey",2018,9.8
34009,"Cape May","New Jersey",2018,9.8
34011,"Cumberland","New Jersey",2018,10.7
34021,"Mercer","New Jersey",2018,9.4
35001,"Bernalillo","New Mexico",2019,9
35001,"Bernalillo","New Mexico",2018,9.7
35013,"Doña Ana","New Mexico",2018,9.8
35013,"Doña Ana","New Mexico",2019,9.2
35045,"San Juan","New Mexico",2018,12
35045,"San Juan","New Mexico",2019,9.9
35049,"Santa Fe","New Mexico",2018,9
35049,"Santa Fe","New Mexico",2019,8
35061,"Valencia","New Mexico",2019,8.7
35061,"Valencia","New Mexico",2018,10.1
36001,"Albany","New York",2019,9.8
36001,"Albany","New York",2018,10.9
36007,"Broome","New York",2019,10.6
36007,"Broome","New York",2018,11.7
36015,"Chemung","New York",2018,11.7
36015,"Chemung","New York",2019,10.6
36027,"Dutchess","New York",2019,9.7
36027,"Dutchess","New York",2018,10.1
36029,"Erie","New York",2018,10.8
36029,"Erie","New York",2019,10.4
36045,"Jefferson","New York",2019,10.1
36045,"Jefferson","New York",2018,11.4
36055,"Monroe","New York",2019,10.2
36055,"Monroe","New York",2018,11.4
36065,"Oneida","New York",2019,10.2
36065,"Oneida","New York",2018,11.3
36067,"Onondaga","New York",2018,11.4
36067,"Onondaga","New York",2019,10.5
36071,"Orange","New York",2019,9.3
36071,"Orange","New York",2018,10.7
36081,"Queens","New York",2018,8.7
36081,"Queens","New York",2019,8.1
36091,"Saratoga","New York",2019,9.5
36091,"Saratoga","New York",2018,10.7
36109,"Tompkins","New York",2019,9.8
36109,"Tompkins","New York",2018,10.5
36111,"Ulster","New York",2018,10.9
36111,"Ulster","New York",2019,9.8
36113,"Warren","New York",2019,10.1
36113,"Warren","New York",2018,10.8
37001,"Alamance","North Carolina",2018,10
37001,"Alamance","North Carolina",2019,9.8
37021,"Buncombe","North Carolina",2019,8.9
37021,"Buncombe","North Carolina",2018,9.3
37025,"Cabarrus","North Carolina",2018,9.1
37025,"Cabarrus","North Carolina",2019,9
37035,"Catawba","North Carolina",2019,9.2
37035,"Catawba","North Carolina",2018,9.5
37049,"Craven","North Carolina",2019,9.2
37049,"Craven","North Carolina",2018,9.6
37051,"Cumberland","North Carolina",2018,9.9
37051,"Cumberland","North Carolina",2019,9.6
37063,"Durham","North Carolina",2018,9.4
37063,"Durham","North Carolina",2019,8.9
37071,"Gaston","North Carolina",2018,10
37071,"Gaston","North Carolina",2019,9.8
37081,"Guilford","North Carolina",2018,9.7
37081,"Guilford","North Carolina",2019,9.5
37119,"Mecklenburg","North Carolina",2019,8.7
37119,"Mecklenburg","North Carolina",2018,9.2
37127,"Nash","North Carolina",2018,10.4
37127,"Nash","North Carolina",2019,9.9
37129,"New Hanover","North Carolina",2019,9.2
37129,"New Hanover","North Carolina",2018,9.3
37133,"Onslow","North Carolina",2018,9.4
37133,"Onslow","North Carolina",2019,8.9
37147,"Pitt","North Carolina",2019,10.2
37147,"Pitt","North Carolina",2018,10.2
37183,"Wake","North Carolina",2018,8.6
37183,"Wake","North Carolina",2019,8.2
37191,"Wayne","North Carolina",2019,10.2
37191,"Wayne","North Carolina",2018,10.3
38015,"Burleigh","North Dakota",2019,8.2
38015,"Burleigh","North Dakota",2018,9.2
38017,"Cass","North Dakota",2019,8.2
38017,"Cass","North Dakota",2018,8.6
38035,"Grand Forks","North Dakota",2019,8.7
38035,"Grand Forks","North Dakota",2018,8.9
39003,"Allen","Ohio",2018,9.7
39003,"Allen","Ohio",2019,10.1
39017,"Butler","Ohio",2018,9.4
39017,"Butler","Ohio",2019,10.2
39023,"Clark","Ohio",2018,10.5
39023,"Clark","Ohio",2019,11.1
39035,"Cuyahoga","Ohio",2018,10.2
39035,"Cuyahoga","Ohio",2019,11.1
39049,"Franklin","Ohio",2018,9.1
39049,"Franklin","Ohio",2019,9.9
39061,"Hamilton","Ohio",2018,10
39061,"Hamilton","Ohio",2019,10.1
39089,"Licking","Ohio",2018,9.5
39089,"Licking","Ohio",2019,10
39093,"Lorain","Ohio",2019,10.2
39093,"Lorain","Ohio",2018,9.6
39095,"Lucas","Ohio",2018,10.4
39095,"Lucas","Ohio",2019,10.8
39099,"Mahoning","Ohio",2018,10.1
39099,"Mahoning","Ohio",2019,10.4
